2003/04/2018,17.59,0.49,1,0,0,33.393,6
2003/04/2017,17.78,0.49,1,0,0,33.455,5.93
2003/04/2019,17.25,0.49,1,0,0,33.32,6.08
2003/04/2021,12.79,0.69,3.7,0.08,2.6,33.253,6.05
2003/04/2020,13.82,0.48,2,0,0.1,33.173,6.42
2003/04/2022,11.67,0.93,6.5,0.06,6.7,33.334,5.48
2003/07/2018,17.9,0.47,2,0,0,33.49,5.69
2003/04/2024,10.15,2.61,35.5,0,26.8,33.677,1.9
2003/04/2023,10.24,2.16,26.6,0.01,22.3,33.502,2.93
2003/07/2017,17.9,0.47,2,0,0,33.49,5.7
2003/07/2020,14.84,0.44,2,0,0,33.35,6.42
2003/07/2019,17.6,0.48,2,0,0,33.455,5.73
2003/07/2021,13.3,0.56,2.9,0.04,0.8,33.589,6.19
2003/07/2030,13.58,0.65,3,0.04,0.6,33.58,6.04
2003/07/2026,18.72,0.47,2,0,0,33.65,5.57
2003/07/2024,10.75,2.34,33.1,0.02,26.2,34.159,2.12
2003/07/2023,10.88,1.81,24.1,0.02,20.9,33.993,3.42
2003/07/2025,18.99,0.47,2,0,0,33.66,5.54
2003/07/2028,18.16,0.45,2,0,0,33.608,5.68
2003/07/2027,18.69,0.47,2,0,0,33.646,5.58
2003/07/2029,17.13,0.45,2,0,0,33.579,5.81
2003/10/2023,10.53,2.17,26.5,0.02,24,33.719,2.66
2003/10/2021,11.51,1.25,12.7,0.07,12.6,33.625,4.44
2003/10/2020,13.46,0.67,3.3,0.04,1,33.582,5.99
2003/10/2022,10.83,1.83,20.9,0.04,20.1,33.671,3.34
2003/10/2025,9.6,2.65,38.7,0,29.2,33.876,1.68
2003/10/2024,10.28,2.34,30.7,0.01,26.2,33.769,2.19
2003/10/2026,18.78,0.47,2,0,0,33.469,5.51
2004/01/2012,10.79,2.54,33.7,0.11,26.2,34.059,1.85
2003/11/2002,16.62,0.54,8,0.07,0.7,33.748,6.42
2003/10/2030,14.77,0.47,1,0,0,33.42,5.92
2003/10/2029,15.94,0.47,1,0,0,33.402,5.83
2003/10/2028,18.01,0.47,1.4,0,0,33.452,5.62
2003/10/2031,11.89,0.94,8.5,0.11,7.4,33.502,5.13
2003/10/2031,13.28,0.62,3.6,0.11,1.7,33.455,5.73
2003/11/2001,19.31,0.4,5,0,0,33.666,5.69
2004/01/2008,11.84,1.97,23.2,0.77,18,33.793,2.91
2004/01/2006,14.87,0.76,9.1,0.15,3.2,33.749,5.71
2003/11/2003,16.43,0.55,8.1,0.08,0.8,33.748,6.36
2004/01/2007,13.83,1.08,10.7,0.25,7.5,33.757,4.98
2004/01/2010,11.15,2.45,29,0.89,22.6,33.91,2.14
2004/01/2009,11.3,2.29,27.4,0.87,21.3,33.875,2.44
2004/01/2011,10.93,2.39,30.8,0.25,24.8,33.97,2.14
2004/01/2020,10.82,2.66,36,0.02,27.2,34.09,1.28
2004/01/2016,10.26,2.61,39,0.04,28.2,34.292,1.41
2004/01/2014,10.46,2.61,36,0.05,27.9,34.248,1.57
2004/01/2013,10.71,2.52,34.1,0.05,26.7,34.148,1.79
2004/01/2015,10.28,2.61,38.6,0.04,28.2,34.287,1.43
2004/01/2018,19.61,0.42,6,0,0,33.704,5.65
2004/01/2017,19.6,0.42,6,0.04,0,33.501,5.66
2004/01/2019,10.92,2.21,27,0.02,24.9,33.887,2.01
2004/03/2026,17.38,0.46,2.9,0,0,33.534,5.85
2004/03/2024,18.98,0.49,4,0,0,33.59,5.63
2004/03/2023,19.07,0.51,4,0,0,33.6,5.57
2004/03/2025,18.85,0.49,3.9,0,0,33.585,5.65
2004/03/2028,14.67,0.49,2,0,0,33.42,5.96
2004/03/2027,15.76,0.44,2,0,0,33.485,6.02
2004/03/2029,14.55,0.51,2.2,0,0.3,33.422,5.92
2004/07/2020,16.44,0.42,1,0,0,33.5,6.09
2004/04/2007,15.1,0.47,2,0,0,33.45,6.12
2004/04/2003,10.2,2.59,36.6,0.09,27.7,33.765,1.63
2004/04/2001,10.89,2.09,26.8,0.05,23.2,33.582,2.54
2004/03/2031,11.26,1.7,20.3,0.06,19.1,33.526,3.23
2004/04/2002,10.43,2.32,30.8,0.01,25.1,33.64,2.33
2004/04/2005,19.81,0.44,2,0,0,33.63,5.39
2004/04/2004,19.81,0.44,2,0,0,33.63,5.47
2004/04/2006,19.09,0.44,2.5,0,0,33.577,5.46
2004/07/2017,11.87,0.94,8.8,0.02,4.3,33.901,5.13
2004/07/2013,19.61,0.49,1,0,0,33.52,5.77
2004/04/2008,12.88,0.95,7.6,0.07,7.1,33.492,4.99
2004/07/2015,15.93,0.44,1,0,0,33.52,6.05
2004/07/2014,18.32,0.46,1,0,0,33.508,5.94
2004/07/2016,19.61,0.44,2,0,0,33.52,5.42
2004/07/2018,14.18,0.5,2.7,0,0,33.717,5.99
2004/07/2017,10.6,1.44,17,0.02,9.1,34.063,4.18
2004/07/2019,18.08,0.42,1,0,0,33.524,5.79
2004/11/2007,16.04,0.4,1,0,0,33.407,6.02
2004/07/2028,18.72,0.42,1.5,0,0,33.542,5.69
2004/07/2024,9.86,2.28,28.5,0.01,23.9,33.638,2.89
2004/07/2022,19.09,0.42,2,0,0,33.56,5.64
2004/07/2021,16.35,0.42,1,0,0,33.509,6.09
2004/07/2023,19.09,0.42,2,0,0,33.56,5.65
2004/07/2026,10.3,2.01,24.5,0.01,21.9,33.586,3.14
2004/07/2025,9.4,2.46,37.3,0.01,27.5,33.752,2.09
2004/07/2027,11.25,1.55,17.4,0.04,16.4,33.537,3.77
2004/11/2003,11.67,0.91,8,0.05,8.3,33.463,4.96
2004/11/2002,12.37,0.77,6,0.04,5.7,33.428,5.24
2004/11/2005,10.29,1.84,22.6,0.02,20.9,33.8,3.33
2004/11/2004,10.9,1.3,13.8,0.04,13.8,33.603,4.28
2004/11/2006,14.54,0.48,1.9,0,0,33.38,5.87
2004/11/2015,11.37,1.71,20.1,0.05,18.4,33.602,3.34
2004/11/2011,19.51,0.44,1,0,0,33.559,5.45
2004/11/2009,18.96,0.46,1.4,0,0,33.511,5.54
2004/11/2008,18.1,0.47,2,0,0,33.469,5.69
2004/11/2010,19.55,0.44,1,0,0,33.564,5.44
2004/11/2013,10.82,2.79,37.8,0.02,28.8,33.803,1.17
2004/11/2012,19.59,0.44,2,0,0,33.564,5.41
2004/11/2014,11.1,2.62,33.9,0.02,27.8,33.696,1.49
2004/11/2017,12.85,0.79,6,0.08,4.7,33.56,5.3
2004/11/2016,11.16,2.37,30,0.03,24.9,33.647,1.99
2005/07/2011,17.21,0.41,2.7,0.01,0,33.576,5.85
2005/04/2019,17.35,0.44,2,0,0,33.682,5.51
2005/01/2014,13.24,1.86,18,0.03,18.7,33.931,2.5
2005/01/2008,13.18,0.62,4.2,0.08,1.4,33.594,5.63
2005/01/2005,10.6,2.09,27.6,0.02,23.2,33.698,2.52
2005/01/2005,11.08,1.92,22.8,0.03,21,33.661,2.77
2005/01/2004,12.09,1.39,14,0.13,14,33.627,3.86
2005/01/2006,10.37,2.37,31.9,0.01,25.3,33.736,2.14
2005/01/2007,20.38,0.42,2,0,0,33.684,5.33
2005/01/2010,19.04,0.38,2,0,0,33.622,5.68
2005/01/2009,14.75,0.56,4,0.03,0.2,33.582,5.81
2005/01/2012,20.53,0.35,2,0,0,33.686,5.39
2005/01/2011,20.53,0.35,2,0,0,33.689,5.37
2005/01/2013,13.04,2.68,32,0.07,25.1,34.205,0.96
2005/01/2018,9.68,2.35,34,0.03,27.1,34.161,2.2
2005/01/2016,19.4,0.49,10,0.01,0,34.012,6.12
2005/01/2015,14.15,1.54,16,0.66,13.2,33.873,3.76
2005/01/2017,20.49,0.63,11,0.01,0,34.037,6.29
2005/04/2016,11.81,1.45,18,0.04,16.8,33.743,3.03
2005/04/2015,13.96,0.75,6.9,0.07,5.2,33.719,4.02
2005/01/2019,9.7,2.32,33.4,0.03,26.8,34.143,2.24
2005/04/2017,10.19,2.42,36.8,0.08,26.8,33.836,1.66
2005/04/2017,10.85,2,25,0.02,21.3,33.77,2.62
2005/04/2018,22,0.33,3,0.01,0,34.068,5.64
2005/05/2001,9.75,2.74,41.3,0.01,28.5,33.877,1.28
2005/04/2023,10.69,2.38,30.2,0.02,25.3,33.787,1.93
2005/04/2021,19.03,0.45,2,0,0,33.6,5.49
2005/04/2020,17.24,0.44,2,0,0,33.676,5.59
2005/04/2019,16.11,0.48,2,0,0,33.698,5.21
2005/04/2022,19.43,0.47,2,0,0,33.588,4.97
2005/04/2027,15.26,0.68,4,0.06,0.8,33.714,5.62
2005/04/2025,19.44,0.47,2,0,0,33.583,5.27
2005/04/2024,10.19,2.44,33.8,0.03,26.2,33.814,1.87
2005/04/2026,10.96,2.18,26.2,0.04,23.4,33.762,2.23
2005/04/2029,18.95,0.45,2,0,0,33.668,5.77
2005/04/2028,11.89,1.82,18.3,0.24,18.6,33.74,3.05
2005/04/2030,20.38,0.44,2,0,0,33.689,5.34
2005/07/2007,12.51,2,29.8,0.06,21.3,34.245,1.86
2005/07/2004,12.5,2.88,38.5,0.04,28,34.321,0.36
2005/07/2002,22.38,0.51,2,0,0,33.927,5.15
2005/07/2001,22.61,0.47,2,0,0,34.07,5.09
2005/07/2003,20.03,0.5,2,0,0,33.807,5.55
2005/07/2005,12.69,2.53,36.9,0.05,26.5,34.279,0.82
2005/07/2006,12.5,2.19,35,0.06,22.9,34.252,1.53
2005/07/2009,12.46,1.62,17.7,0.05,14.2,34.116,3.29
2005/07/2008,13.7,0.57,5.2,0.09,1.7,33.826,5.39
2005/07/2010,16.09,0.44,2,0.01,0,33.457,5.93
2005/11/2014,12.31,3.02,34.6,0.01,29.9,34.208,1.32
2005/07/2017,15.94,0.44,2.1,0.01,0,33.477,5.92
2005/07/2014,14.62,2,19.5,0.1,18.1,34.114,2.11
2005/07/2013,14.58,2.05,20,0.09,18.8,34.129,1.99
2005/07/2012,18.95,0.37,4.7,0.01,0,33.75,5.77
2005/07/2013,21.71,0.37,8,0.01,0,33.968,5.4
2005/07/2016,17.9,0.65,5,0.17,0.2,33.911,4.96
2005/07/2015,15.47,0.98,9,0.38,4.7,33.825,4.51
2005/11/2010,22.2,0.51,4,0,0,33.84,5.16
2005/11/2006,13.15,0.85,9.6,0,4.8,33.651,4.36
2005/11/2005,15.11,0.62,6.1,0.02,0.2,33.623,6.15
2005/11/2004,14.05,0.68,7,0.14,2.2,33.637,5.18
2005/11/2008,18.61,0.57,5.1,0,0,33.705,5.93
2005/11/2007,12.23,2.04,23.9,0,20.8,33.684,2.08
2005/11/2009,21.9,0.52,4.1,0,0,33.827,5.25
2005/11/2012,11.51,3.26,40,0,29.2,34.669,0.17
2005/11/2011,11.55,3.22,39.5,0,29,34.649,0.19
2005/11/2013,22.22,0.42,3,0,0,33.839,5.12
2005/11/2021,11.82,3.14,37.7,0,30.3,34.367,1.01
